Date,Price,Open,High,Low,Volume,Chg%
"Dec 28, 2018",3362,3359,3366,3353,16.63K,-0.09%
"Dec 27, 2018",3365,3369,3374,3336,30.95K,0.09%
"Dec 26, 2018",3362,3320,3373,3315,21.66K,0.96%
"Dec 24, 2018",3330,3332,3345,3312,27.24K,-0.39%
"Dec 21, 2018",3343,3357,3360,3338,11.34K,-0.71%
"Dec 20, 2018",3367,3361,3385,3356,0.97K,0.00%
"Dec 19, 2018",3367,3375,3379,3361,1.59K,0.18%
"Dec 18, 2018",3361,3350,3365,3347,1.49K,0.06%
"Dec 17, 2018",3359,3375,3375,3351,2.90K,-0.39%
"Dec 14, 2018",3372,3360,3375,3360,3.31K,-0.03%
"Dec 13, 2018",3373,3378,3400,3368,5.32K,0.12%
"Dec 12, 2018",3369,3330,3373,3330,10.02K,1.84%
"Dec 11, 2018",3308,3316,3341,3297,31.16K,0.03%
"Dec 10, 2018",3307,3252,3319,3252,57.82K,0.92%
"Dec 07, 2018",3277,3275,3290,3257,45.37K,0.15%
"Dec 06, 2018",3272,3300,3308,3268,46.43K,-1.03%
"Dec 05, 2018",3306,3312,3330,3300,32.75K,-0.27%
"Dec 04, 2018",3315,3345,3345,3307,40.44K,-0.66%
"Dec 03, 2018",3337,3366,3394,3321,51.58K,-0.51%
"Nov 30, 2018",3354,3357,3371,3346,18.76K,-0.03%
"Nov 29, 2018",3355,3420,3420,3341,44.06K,-1.29%
"Nov 28, 2018",3399,3371,3403,3367,34.91K,0.98%
"Nov 27, 2018",3366,3354,3372,3342,33.58K,0.09%
"Nov 26, 2018",3363,3426,3430,3329,67.72K,-1.75%
"Nov 22, 2018",3423,3421,3434,3412,28.96K,0.12%
"Nov 21, 2018",3419,3413,3440,3402,29.88K,1.33%
"Nov 20, 2018",3374,3400,3410,3365,0.93K,-0.50%
"Nov 19, 2018",3391,3380,3415,3380,1.50K,0.83%
"Nov 16, 2018",3363,3358,3376,3355,2.33K,-0.50%
